json_size json_time json_classic_size json_classic_time json_scannerless_size json_scannerless_time json_unbounded_size json_unbounded_time json_unbounded_scannerless_size json_unbounded_scannerless_time pascal_size pascal_time pascal_classic_size pascal_classic_time pascal_scannerless_size pascal_scannerless_time pascal_unbounded_size pascal_unbounded_time pascal_unbounded_scannerless_size pascal_unbounded_scannerless_time c_size c_time c_classic_size c_classic_time c_scannerless_size c_scannerless_time c_unbounded_size c_unbounded_time c_unbounded_scannerless_size c_unbounded_scannerless_time fortran_size fortran_time fortran_classic_size fortran_classic_time fortran_scannerless_size fortran_scannerless_time fortran_unbounded_size fortran_unbounded_time fortran_unbounded_scannerless_size fortran_unbounded_scannerless_time cobol_size cobol_time cobol_classic_size cobol_classic_time cobol_scannerless_size cobol_scannerless_time cobol_unbounded_size cobol_unbounded_time cobol_unbounded_scannerless_size cobol_unbounded_scannerless_time
0.099 0.0011398 0.099 0.0007632 0.099 0.0022873 0.099 0.0010933 0.099 0.0016127 0.562 0.0127015 0.562 0.007621899999999999 0.562 0.014675299999999999 0.562 0.0120134 0.562 0.0135995 0.928 0.0282484 0.928 0.012163799999999999 0.928 0.0277238 0.928 0.0270735 0.928 0.0277227 0.375 0.0346709 0.375 0.020443700000000002 0.375 0.0293363 0.375 0.0332137 0.375 0.0362519 0.842 0.1309929 0.842 0.08736740000000001 0.842 0.0774272 0.842 0.1006272 0.842 0.08414540000000001
10.172 0.0219887 10.172 0.007258200000000001 10.172 0.0977989 10.172 0.0223027 10.172 0.058344799999999995 10.361 0.0961769 10.361 0.0607337 10.361 0.1737525 10.361 0.0911892 10.361 0.1230099 10.74 0.12579990000000002 10.74 0.0574841 10.74 0.2216847 10.74 0.1213459 10.74 0.1450118 10.161 0.1620512 10.161 0.0925521 10.161 0.26127059999999996 10.161 0.156449 10.161 0.1752097 10.274 0.20716609999999996 10.274 0.1104338 10.274 0.2445373 10.274 0.1817976 10.274 0.2140902
20.371 0.0449594 20.371 0.013767699999999999 20.371 0.20804399999999998 20.371 0.0488533 20.371 0.1172962 20.39 0.2240472 20.39 0.1426562 20.39 0.3769893 20.39 0.1940246 20.39 0.2700575 20.067 0.22543639999999998 20.067 0.1018928 20.067 0.407474 20.067 0.2194016 20.067 0.27232979999999996 20.541 0.2890602 20.541 0.1652614 20.541 0.48342989999999997 20.541 0.2790461 20.541 0.3150834 20.088 0.32922569999999995 20.088 0.1508675 20.088 0.5563672000000001 20.088 0.3609134 20.088 0.44938279999999997
30.762 0.0615804 30.762 0.0175183 30.762 0.31384029999999996 30.762 0.0614287 30.762 0.172583 30.416 0.30376149999999996 30.416 0.1921917 30.416 0.5740187999999999 30.416 0.26491370000000003 30.416 0.3784877 30.482 0.3383065 30.482 0.1533122 30.482 0.6089291 30.482 0.32799459999999997 30.482 0.39638809999999997 30.664 0.45143469999999997 30.664 0.2585756 30.664 0.7526121 30.664 0.43784919999999994 30.664 0.488267 30.644 0.384293 30.644 0.1700059 30.644 0.7950628 30.644 0.42965029999999993 30.644 0.5678535
40.891 0.0921662 40.891 0.0258054 40.891 0.4374668 40.891 0.09281740000000001 40.891 0.2401916 40.332 0.37978290000000003 40.332 0.24145129999999998 40.332 0.7353154 40.332 37.8230255 40.332 0.5078665 40.291 0.4464281 40.291 0.20347520000000002 40.291 0.803561 40.291 0.43222940000000004 40.291 0.5147501 40.237 0.5755853999999999 40.237 0.3240616 40.237 0.9837282999999999 40.237 0.5529101 40.237 0.6202516 40.368 0.4765593 40.368 0.196049 40.368 0.9481078000000001 40.368 0.4757345 40.368 0.6902064
50.333 0.1113999 50.333 0.0325179 50.333 0.528653 50.333 0.11953290000000001 50.333 0.294439 50.932 0.5214544 50.932 0.3342939 50.932 1.0130217 50.932 0.45294239999999997 50.932 0.7216758999999999 50.768 0.5915581999999999 50.768 0.2657526 50.768 1.0403632999999999 50.768 0.5710834 50.768 0.6686782 50.531 0.7135862000000001 50.531 0.4006757 50.531 1.2251431 50.531 0.6901143000000001 50.531 0.7763636 50.938 0.5683701 50.938 0.2253367 50.938 1.3472537 50.938 0.5572666 50.938 0.8574854999999999
60.497 0.13547700000000001 60.497 0.037123300000000005 60.497 0.6582144000000001 60.497 0.1387807 60.497 0.3576123 60.73 0.6083736 60.73 0.3839967 60.73 1.1846239 60.73 0.566284 60.73 0.8283177 61.0 0.6978801 61.0 0.3210474 61.0 1.2750295 61.0 0.6791623 61.0 0.8138962 60.43 0.8671070000000001 60.43 0.48521200000000003 60.43 1.4813336 60.43 0.83581 60.43 0.9296488 60.996 0.603993 60.996 0.23782739999999997 60.996 1.6354609 60.996 0.6299694 60.996 0.9415507
70.459 0.1576591 70.459 0.0459491 70.459 0.7624016 70.459 0.1725665 70.459 0.41410090000000005 70.848 0.7311706 70.848 0.4309623 70.848 1.4161474 70.848 0.6278816 70.848 0.9364406000000001 70.996 0.8043018 70.996 0.3669544 70.996 1.5551323 70.996 0.7834692999999999 70.996 0.9308968999999999 70.937 1.0076184 70.937 0.5666791 70.937 1.7427005000000002 70.937 0.9737413 70.937 1.0896415 70.284 0.6987311 70.284 0.2689385 70.284 1.9169982 70.284 0.7172964000000001 70.284 1.1414298999999999
80.474 0.18893949999999998 80.474 0.05159010000000001 80.474 0.9095603000000001 80.474 0.1881532 80.474 0.4951383 80.619 0.8841777000000001 80.619 0.5325957 80.619 1.6466618 80.619 0.7686927 80.619 1.1709835 80.649 0.9200671999999999 80.649 0.42255590000000004 80.649 1.8030000000000002 80.649 0.8903576 80.649 1.0732851 80.878 1.151371 80.878 0.6463651 80.878 2.0145059 80.878 1.1181452 80.878 1.2621465 80.974 0.8265919 80.974 0.30826919999999997 80.974 2.1908982000000004 80.974 0.8379722000000001 80.974 1.2631953
90.146 0.2076349 90.146 0.0577646 90.146 1.0083791 90.146 0.208371 90.146 0.5435889 90.595 0.9834327999999999 90.595 0.6320472 90.595 1.9386277 90.595 0.9556720999999999 90.595 1.3021217 90.171 1.0170406 90.171 0.46418040000000005 90.171 2.0056569 90.171 0.9880756999999999 90.171 1.2056987 91.037 1.3008175 91.037 0.7272249000000001 91.037 2.2556453999999997 91.037 1.2640449 91.037 1.4020899999999998 90.571 1.0268591 90.571 0.3687784 90.571 3.4534214 90.571 1.0628923000000001 90.571 2.6642140000000003
